,x,y
185,-244.4999999999979,0
186,-244.19999999999789,0
187,-243.89999999999787,0
188,-243.59999999999786,0
189,-243.29999999999785,0
190,-242.99999999999784,0
191,-242.69999999999783,0
192,-242.39999999999782,0
193,-242.0999999999978,0
194,-241.7999999999978,0
195,-241.49999999999778,0
196,-241.19999999999777,0
197,-240.89999999999776,0
198,-240.59999999999775,0
199,-240.29999999999774,0
200,-239.99999999999773,0
201,-239.69999999999771,0
202,-239.3999999999977,0
203,-239.0999999999977,0
204,-238.79999999999768,0
205,-238.49999999999767,0
206,-238.19999999999766,0
207,-237.89999999999765,0
208,-237.59999999999764,0
209,-237.29999999999762,0
210,-236.9999999999976,0
211,-236.6999999999976,0
212,-236.3999999999976,0
213,-236.09999999999758,0
214,-235.79999999999757,0
215,-235.49999999999756,0
216,-235.19999999999754,0
217,-234.89999999999753,0
218,-234.59999999999752,0
219,-234.2999999999975,0
220,-233.9999999999975,0
221,-233.6999999999975,0
222,-233.39999999999748,0
223,-233.09999999999746,0
224,-232.79999999999745,0
225,-232.49999999999744,0
226,-232.19999999999743,0
227,-231.89999999999742,0
228,-231.5999999999974,0
229,-231.2999999999974,0
230,-230.99999999999739,0
231,-230.69999999999737,0
232,-230.39999999999736,0
233,-230.09999999999735,0
234,-229.79999999999734,0
235,-229.49999999999733,0
236,-229.19999999999732,0
237,-228.8999999999973,0
238,-228.5999999999973,0
239,-228.29999999999728,0
240,-227.99999999999727,0
241,-227.69999999999726,0
242,-227.39999999999725,0
243,-227.09999999999724,0
244,-226.79999999999723,0
245,-226.49999999999721,0
246,-226.1999999999972,0
247,-225.8999999999972,0
248,-225.59999999999718,0
249,-225.29999999999717,0
250,-224.99999999999716,0
251,-224.69999999999715,0
252,-224.39999999999714,0
253,-224.09999999999712,0
254,-223.7999999999971,0
255,-223.4999999999971,0
256,-223.1999999999971,0
257,-222.89999999999708,0
258,-222.59999999999707,0
259,-222.29999999999706,0
260,-221.99999999999704,0
261,-221.69999999999703,0
262,-221.39999999999702,0
263,-221.099999999997,0
264,-220.799999999997,0
265,-220.499999999997,0
